horse_number,horse_name,frame,actual_running_style,actual_running_style_fixed,position_m,finish_position_m,rank,lane,gap_from_leader,nige_senko_gap,early_gap_range,final_stretch_start_progress,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,performance_index,mid_race_move_score,normalized_mid_race_move,final_performance_score,late_power,random_noise,normalized_final_performance,normalized_late_power,late_phase,late_ratio,gap_adjustment,escape_fade,stalker_fade,fade_penalty,late_gain_multiplier,tie_breaker,ability_factor,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,stamina,acceleration,last3f_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,carried_weight,weight_penalty,pace_fit_score,final_stretch_score,style_attack_ratio,straight_attack_score,straight_ratio,pace,time,elapsed_time,progress
4,コスモアチーブ,4,差し,差し,0.0,0.0,8,3.0,45.0,11.776,45.0-82.0,0.75,48.534,54.286,48.0,67.862,74.364,59.943,51.258,46.73,55.681,0.304,56.395,57.443,2.33,0.902,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.497,0.441,0.516,0.598,1.0,59.808,49.723,51.18,70.597,56.592,51.507,65.0,63.431,0.0,0.0,55.801,44.1275,33.4,0.0,51.633,58.0,4.0,84.778,60.023,0.0,0.0,0.0,medium,1.726,1.726,0.0134
7,ミッドセンチュリー,7,差し,差し,0.0,0.0,9,6.22,45.0,11.776,45.0-82.0,0.75,48.469,60.643,49.7,63.716,70.471,61.624,50.697,48.002,57.56,0.508,56.383,54.423,-2.599,0.9,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.519,0.476,0.386,0.613,1.0,61.274,51.883,53.76,73.852,57.323,51.172,65.0,69.727,0.0,0.0,51.64,49.18,34.4,0.0,38.622,58.0,4.0,87.431,57.766,0.0,0.0,0.0,medium,1.726,1.726,0.0134
10,コスモエルヴァル,8,差し,差し,0.0,0.0,10,7.0,45.0,11.776,45.0-82.0,0.75,37.181,35.0,48.0,41.395,37.793,55.013,40.0,39.909,45.895,-0.76,46.67,47.927,2.87,-0.88,-0.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.26,0.211,0.205,0.546,1.0,54.625,25.979,36.177,62.939,45.242,34.594,65.0,62.311,0.0,0.0,45.986,47.5575,34.5,0.0,20.536,55.0,-2.0,69.473,48.142,0.0,0.0,0.0,medium,1.726,1.726,0.0134
2,メアヴィア,2,逃げ,逃げ,33.165,33.165,1,1.0,0.28,11.72,0.0-8.0,0.75,39.52,59.214,48.0,35.305,38.314,48.746,40.0,40.507,50.836,-0.223,46.751,45.692,-0.549,-0.865,-0.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.818,0.793,0.0,0.491,1.0,49.063,81.792,65.689,43.335,42.655,50.985,65.0,55.939,0.0,0.0,40.777,50.5825,33.4,0.0,0.0,56.0,0.0,80.692,43.414,0.0,0.0,0.0,medium,2.158,2.158,0.0167
1,ニシノイストワール,1,先行,先行,21.445,21.445,2,0.22,12.0,11.72,12.0-34.0,0.75,35.139,45.714,48.0,17.372,41.014,48.051,40.0,40.099,46.51,-0.694,44.989,42.55,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.498,0.526,0.064,0.476,1.0,47.562,49.837,50.314,50.15,42.379,41.409,65.0,54.684,0.0,0.0,41.027,50.285,35.2,0.0,6.429,58.0,4.0,79.121,43.655,0.0,0.0,0.0,medium,2.158,2.158,0.0167
5,ムーンストラック,5,先行,先行,21.445,21.445,3,4.22,12.0,11.72,12.0-34.0,0.75,42.278,46.357,48.0,42.82,53.843,63.199,43.915,45.079,55.702,0.306,52.29,51.358,-0.889,0.15,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.412,0.448,0.312,0.633,1.0,63.317,41.23,53.147,63.822,53.77,44.415,65.0,71.28,0.0,0.0,49.835,48.9175,33.9,0.0,31.25,56.0,0.0,82.11,55.252,0.0,0.0,0.0,medium,2.158,2.158,0.0167
6,トレベルオール,6,先行,先行,21.445,21.445,4,5.0,12.0,11.72,12.0-34.0,0.75,49.57,53.714,48.0,64.399,77.157,68.599,52.338,44.258,63.161,1.0,51.917,51.461,0.289,0.082,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.796,0.784,0.08,0.684,1.0,68.444,79.598,73.9,69.322,61.958,60.401,65.0,56.412,0.0,0.0,43.877,49.965,33.7,0.0,7.986,58.0,4.0,65.738,46.372,0.0,0.0,0.0,medium,2.158,2.158,0.0167
8,マイネルボス,7,先行,先行,21.445,21.445,5,6.0,12.0,11.72,12.0-34.0,0.75,41.109,40.143,47.086,55.161,48.864,53.076,42.575,47.248,53.975,0.118,52.449,52.004,-0.015,0.179,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.581,0.559,0.2,0.529,1.0,52.905,58.148,54.557,63.958,46.211,44.599,65.0,82.217,0.0,0.0,45.043,48.3275,35.3,0.0,20.0,58.0,4.0,87.958,52.622,0.0,0.0,0.0,medium,2.158,2.158,0.0167
9,アローメタル,8,先行,先行,21.445,21.445,6,7.0,12.0,11.72,12.0-34.0,0.75,50.974,90.0,43.405,83.514,93.243,52.254,53.707,53.556,61.693,0.958,58.194,56.626,-1.539,1.0,1.134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.639,0.692,0.516,0.521,1.0,52.14,63.91,61.508,76.138,56.359,58.191,65.0,91.092,0.0,0.0,41.595,54.910526315789475,33.7,0.0,51.557,55.0,-2.0,83.199,58.744,0.0,0.0,0.0,medium,2.158,2.158,0.0167
3,アレクレア,3,差し,差し,0.0,0.0,7,2.22,45.0,11.72,45.0-82.0,0.75,46.721,65.429,63.714,63.771,59.193,23.445,45.92,42.064,37.868,-1.0,48.663,47.082,-1.369,-0.514,-0.679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.449,0.487,0.152,0.223,1.0,22.348,44.854,36.846,54.48,36.231,39.804,65.0,47.086,0.0,0.0,35.062,51.33,38.8,0.0,15.238,56.0,0.0,90.829,42.132,0.0,0.0,0.0,medium,2.158,2.158,0.0167
4,コスモアチーブ,4,差し,差し,0.0,0.0,8,3.0,45.0,11.72,45.0-82.0,0.75,48.534,54.286,48.0,67.862,74.364,59.943,51.258,46.73,55.681,0.304,56.395,57.443,2.33,0.902,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.497,0.441,0.516,0.598,1.0,59.808,49.723,51.18,70.597,56.592,51.507,65.0,63.431,0.0,0.0,55.801,44.1275,33.4,0.0,51.633,58.0,4.0,84.778,60.023,0.0,0.0,0.0,medium,2.158,2.158,0.0167
7,ミッドセンチュリー,7,差し,差し,0.0,0.0,9,6.22,45.0,11.72,45.0-82.0,0.75,48.469,60.643,49.7,63.716,70.471,61.624,50.697,48.002,57.56,0.508,56.383,54.423,-2.599,0.9,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.519,0.476,0.386,0.613,1.0,61.274,51.883,53.76,73.852,57.323,51.172,65.0,69.727,0.0,0.0,51.64,49.18,34.4,0.0,38.622,58.0,4.0,87.431,57.766,0.0,0.0,0.0,medium,2.158,2.158,0.0167
10,コスモエルヴァル,8,差し,差し,0.0,0.0,10,7.0,45.0,11.72,45.0-82.0,0.75,37.181,35.0,48.0,41.395,37.793,55.013,40.0,39.909,45.895,-0.76,46.67,47.927,2.87,-0.88,-0.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.26,0.211,0.205,0.546,1.0,54.625,25.979,36.177,62.939,45.242,34.594,65.0,62.311,0.0,0.0,45.986,47.5575,34.5,0.0,20.536,55.0,-2.0,69.473,48.142,0.0,0.0,0.0,medium,2.158,2.158,0.0167
2,メアヴィア,2,逃げ,逃げ,39.798,39.798,1,1.0,0.336,11.664,0.0-8.0,0.75,39.52,59.214,48.0,35.305,38.314,48.746,40.0,40.507,50.836,-0.223,46.751,45.692,-0.549,-0.865,-0.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.818,0.793,0.0,0.491,1.0,49.063,81.792,65.689,43.335,42.655,50.985,65.0,55.939,0.0,0.0,40.777,50.5825,33.4,0.0,0.0,56.0,0.0,80.692,43.414,0.0,0.0,0.0,medium,2.589,2.589,0.0201
1,ニシノイストワール,1,先行,先行,28.134,28.134,2,0.22,12.0,11.664,12.0-34.0,0.75,35.139,45.714,48.0,17.372,41.014,48.051,40.0,40.099,46.51,-0.694,44.989,42.55,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.498,0.526,0.064,0.476,1.0,47.562,49.837,50.314,50.15,42.379,41.409,65.0,54.684,0.0,0.0,41.027,50.285,35.2,0.0,6.429,58.0,4.0,79.121,43.655,0.0,0.0,0.0,medium,2.589,2.589,0.0201
5,ムーンストラック,5,先行,先行,28.134,28.134,3,4.22,12.0,11.664,12.0-34.0,0.75,42.278,46.357,48.0,42.82,53.843,63.199,43.915,45.079,55.702,0.306,52.29,51.358,-0.889,0.15,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.412,0.448,0.312,0.633,1.0,63.317,41.23,53.147,63.822,53.77,44.415,65.0,71.28,0.0,0.0,49.835,48.9175,33.9,0.0,31.25,56.0,0.0,82.11,55.252,0.0,0.0,0.0,medium,2.589,2.589,0.0201
6,トレベルオール,6,先行,先行,28.134,28.134,4,5.0,12.0,11.664,12.0-34.0,0.75,49.57,53.714,48.0,64.399,77.157,68.599,52.338,44.258,63.161,1.0,51.917,51.461,0.289,0.082,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.796,0.784,0.08,0.684,1.0,68.444,79.598,73.9,69.322,61.958,60.401,65.0,56.412,0.0,0.0,43.877,49.965,33.7,0.0,7.986,58.0,4.0,65.738,46.372,0.0,0.0,0.0,medium,2.589,2.589,0.0201
8,マイネルボス,7,先行,先行,28.134,28.134,5,6.0,12.0,11.664,12.0-34.0,0.75,41.109,40.143,47.086,55.161,48.864,53.076,42.575,47.248,53.975,0.118,52.449,52.004,-0.015,0.179,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.581,0.559,0.2,0.529,1.0,52.905,58.148,54.557,63.958,46.211,44.599,65.0,82.217,0.0,0.0,45.043,48.3275,35.3,0.0,20.0,58.0,4.0,87.958,52.622,0.0,0.0,0.0,medium,2.589,2.589,0.0201
9,アローメタル,8,先行,先行,28.134,28.134,6,7.0,12.0,11.664,12.0-34.0,0.75,50.974,90.0,43.405,83.514,93.243,52.254,53.707,53.556,61.693,0.958,58.194,56.626,-1.539,1.0,1.134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.639,0.692,0.516,0.521,1.0,52.14,63.91,61.508,76.138,56.359,58.191,65.0,91.092,0.0,0.0,41.595,54.910526315789475,33.7,0.0,51.557,55.0,-2.0,83.199,58.744,0.0,0.0,0.0,medium,2.589,2.589,0.0201
3,アレクレア,3,差し,差し,0.0,0.0,7,2.22,45.0,11.664,45.0-82.0,0.75,46.721,65.429,63.714,63.771,59.193,23.445,45.92,42.064,37.868,-1.0,48.663,47.082,-1.369,-0.514,-0.679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.449,0.487,0.152,0.223,1.0,22.348,44.854,36.846,54.48,36.231,39.804,65.0,47.086,0.0,0.0,35.062,51.33,38.8,0.0,15.238,56.0,0.0,90.829,42.132,0.0,0.0,0.0,medium,2.589,2.589,0.0201
4,コスモアチーブ,4,差し,差し,0.0,0.0,8,3.0,45.0,11.664,45.0-82.0,0.75,48.534,54.286,48.0,67.862,74.364,59.943,51.258,46.73,55.681,0.304,56.395,57.443,2.33,0.902,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.497,0.441,0.516,0.598,1.0,59.808,49.723,51.18,70.597,56.592,51.507,65.0,63.431,0.0,0.0,55.801,44.1275,33.4,0.0,51.633,58.0,4.0,84.778,60.023,0.0,0.0,0.0,medium,2.589,2.589,0.0201
7,ミッドセンチュリー,7,差し,差し,0.0,0.0,9,6.22,45.0,11.664,45.0-82.0,0.75,48.469,60.643,49.7,63.716,70.471,61.624,50.697,48.002,57.56,0.508,56.383,54.423,-2.599,0.9,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.519,0.476,0.386,0.613,1.0,61.274,51.883,53.76,73.852,57.323,51.172,65.0,69.727,0.0,0.0,51.64,49.18,34.4,0.0,38.622,58.0,4.0,87.431,57.766,0.0,0.0,0.0,medium,2.589,2.589,0.0201
10,コスモエルヴァル,8,差し,差し,0.0,0.0,10,7.0,45.0,11.664,45.0-82.0,0.75,37.181,35.0,48.0,41.395,37.793,55.013,40.0,39.909,45.895,-0.76,46.67,47.927,2.87,-0.88,-0.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.26,0.211,0.205,0.546,1.0,54.625,25.979,36.177,62.939,45.242,34.594,65.0,62.311,0.0,0.0,45.986,47.5575,34.5,0.0,20.536,55.0,-2.0,69.473,48.142,0.0,0.0,0.0,medium,2.589,2.589,0.0201
2,メアヴィア,2,逃げ,逃げ,46.431,46.431,1,1.0,0.392,11.608,0.0-8.0,0.75,39.52,59.214,48.0,35.305,38.314,48.746,40.0,40.507,50.836,-0.223,46.751,45.692,-0.549,-0.865,-0.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.818,0.793,0.0,0.491,1.0,49.063,81.792,65.689,43.335,42.655,50.985,65.0,55.939,0.0,0.0,40.777,50.5825,33.4,0.0,0.0,56.0,0.0,80.692,43.414,0.0,0.0,0.0,medium,3.021,3.021,0.0234
1,ニシノイストワール,1,先行,先行,34.823,34.823,2,0.22,12.0,11.608,12.0-34.0,0.75,35.139,45.714,48.0,17.372,41.014,48.051,40.0,40.099,46.51,-0.694,44.989,42.55,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.498,0.526,0.064,0.476,1.0,47.562,49.837,50.314,50.15,42.379,41.409,65.0,54.684,0.0,0.0,41.027,50.285,35.2,0.0,6.429,58.0,4.0,79.121,43.655,0.0,0.0,0.0,medium,3.021,3.021,0.0234
5,ムーンストラック,5,先行,先行,34.823,34.823,3,4.22,12.0,11.608,12.0-34.0,0.75,42.278,46.357,48.0,42.82,53.843,63.199,43.915,45.079,55.702,0.306,52.29,51.358,-0.889,0.15,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.412,0.448,0.312,0.633,1.0,63.317,41.23,53.147,63.822,53.77,44.415,65.0,71.28,0.0,0.0,49.835,48.9175,33.9,0.0,31.25,56.0,0.0,82.11,55.252,0.0,0.0,0.0,medium,3.021,3.021,0.0234
6,トレベルオール,6,先行,先行,34.823,34.823,4,5.0,12.0,11.608,12.0-34.0,0.75,49.57,53.714,48.0,64.399,77.157,68.599,52.338,44.258,63.161,1.0,51.917,51.461,0.289,0.082,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.796,0.784,0.08,0.684,1.0,68.444,79.598,73.9,69.322,61.958,60.401,65.0,56.412,0.0,0.0,43.877,49.965,33.7,0.0,7.986,58.0,4.0,65.738,46.372,0.0,0.0,0.0,medium,3.021,3.021,0.0234
8,マイネルボス,7,先行,先行,34.823,34.823,5,6.0,12.0,11.608,12.0-34.0,0.75,41.109,40.143,47.086,55.161,48.864,53.076,42.575,47.248,53.975,0.118,52.449,52.004,-0.015,0.179,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.581,0.559,0.2,0.529,1.0,52.905,58.148,54.557,63.958,46.211,44.599,65.0,82.217,0.0,0.0,45.043,48.3275,35.3,0.0,20.0,58.0,4.0,87.958,52.622,0.0,0.0,0.0,medium,3.021,3.021,0.0234
9,アローメタル,8,先行,先行,34.823,34.823,6,7.0,12.0,11.608,12.0-34.0,0.75,50.974,90.0,43.405,83.514,93.243,52.254,53.707,53.556,61.693,0.958,58.194,56.626,-1.539,1.0,1.134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.639,0.692,0.516,0.521,1.0,52.14,63.91,61.508,76.138,56.359,58.191,65.0,91.092,0.0,0.0,41.595,54.910526315789475,33.7,0.0,51.557,55.0,-2.0,83.199,58.744,0.0,0.0,0.0,medium,3.021,3.021,0.0234
3,アレクレア,3,差し,差し,1.823,1.823,7,2.22,45.0,11.608,45.0-82.0,0.75,46.721,65.429,63.714,63.771,59.193,23.445,45.92,42.064,37.868,-1.0,48.663,47.082,-1.369,-0.514,-0.679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.449,0.487,0.152,0.223,1.0,22.348,44.854,36.846,54.48,36.231,39.804,65.0,47.086,0.0,0.0,35.062,51.33,38.8,0.0,15.238,56.0,0.0,90.829,42.132,0.0,0.0,0.0,medium,3.021,3.021,0.0234
4,コスモアチーブ,4,差し,差し,1.823,1.823,8,3.0,45.0,11.608,45.0-82.0,0.75,48.534,54.286,48.0,67.862,74.364,59.943,51.258,46.73,55.681,0.304,56.395,57.443,2.33,0.902,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.497,0.441,0.516,0.598,1.0,59.808,49.723,51.18,70.597,56.592,51.507,65.0,63.431,0.0,0.0,55.801,44.1275,33.4,0.0,51.633,58.0,4.0,84.778,60.023,0.0,0.0,0.0,medium,3.021,3.021,0.0234
7,ミッドセンチュリー,7,差し,差し,1.823,1.823,9,6.22,45.0,11.608,45.0-82.0,0.75,48.469,60.643,49.7,63.716,70.471,61.624,50.697,48.002,57.56,0.508,56.383,54.423,-2.599,0.9,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.519,0.476,0.386,0.613,1.0,61.274,51.883,53.76,73.852,57.323,51.172,65.0,69.727,0.0,0.0,51.64,49.18,34.4,0.0,38.622,58.0,4.0,87.431,57.766,0.0,0.0,0.0,medium,3.021,3.021,0.0234
10,コスモエルヴァル,8,差し,差し,1.823,1.823,10,7.0,45.0,11.608,45.0-82.0,0.75,37.181,35.0,48.0,41.395,37.793,55.013,40.0,39.909,45.895,-0.76,46.67,47.927,2.87,-0.88,-0.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.26,0.211,0.205,0.546,1.0,54.625,25.979,36.177,62.939,45.242,34.594,65.0,62.311,0.0,0.0,45.986,47.5575,34.5,0.0,20.536,55.0,-2.0,69.473,48.142,0.0,0.0,0.0,medium,3.021,3.021,0.0234
2,メアヴィア,2,逃げ,逃げ,53.064,53.064,1,1.0,0.448,11.552,0.0-8.0,0.75,39.52,59.214,48.0,35.305,38.314,48.746,40.0,40.507,50.836,-0.223,46.751,45.692,-0.549,-0.865,-0.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.818,0.793,0.0,0.491,1.0,49.063,81.792,65.689,43.335,42.655,50.985,65.0,55.939,0.0,0.0,40.777,50.5825,33.4,0.0,0.0,56.0,0.0,80.692,43.414,0.0,0.0,0.0,medium,3.452,3.452,0.0268
1,ニシノイストワール,1,先行,先行,41.512,41.512,2,0.22,12.0,11.552,12.0-34.0,0.75,35.139,45.714,48.0,17.372,41.014,48.051,40.0,40.099,46.51,-0.694,44.989,42.55,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.498,0.526,0.064,0.476,1.0,47.562,49.837,50.314,50.15,42.379,41.409,65.0,54.684,0.0,0.0,41.027,50.285,35.2,0.0,6.429,58.0,4.0,79.121,43.655,0.0,0.0,0.0,medium,3.452,3.452,0.0268
5,ムーンストラック,5,先行,先行,41.512,41.512,3,4.22,12.0,11.552,12.0-34.0,0.75,42.278,46.357,48.0,42.82,53.843,63.199,43.915,45.079,55.702,0.306,52.29,51.358,-0.889,0.15,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.412,0.448,0.312,0.633,1.0,63.317,41.23,53.147,63.822,53.77,44.415,65.0,71.28,0.0,0.0,49.835,48.9175,33.9,0.0,31.25,56.0,0.0,82.11,55.252,0.0,0.0,0.0,medium,3.452,3.452,0.0268
6,トレベルオール,6,先行,先行,41.512,41.512,4,5.0,12.0,11.552,12.0-34.0,0.75,49.57,53.714,48.0,64.399,77.157,68.599,52.338,44.258,63.161,1.0,51.917,51.461,0.289,0.082,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.796,0.784,0.08,0.684,1.0,68.444,79.598,73.9,69.322,61.958,60.401,65.0,56.412,0.0,0.0,43.877,49.965,33.7,0.0,7.986,58.0,4.0,65.738,46.372,0.0,0.0,0.0,medium,3.452,3.452,0.0268
8,マイネルボス,7,先行,先行,41.512,41.512,5,6.0,12.0,11.552,12.0-34.0,0.75,41.109,40.143,47.086,55.161,48.864,53.076,42.575,47.248,53.975,0.118,52.449,52.004,-0.015,0.179,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.581,0.559,0.2,0.529,1.0,52.905,58.148,54.557,63.958,46.211,44.599,65.0,82.217,0.0,0.0,45.043,48.3275,35.3,0.0,20.0,58.0,4.0,87.958,52.622,0.0,0.0,0.0,medium,3.452,3.452,0.0268
9,アローメタル,8,先行,先行,41.512,41.512,6,7.0,12.0,11.552,12.0-34.0,0.75,50.974,90.0,43.405,83.514,93.243,52.254,53.707,53.556,61.693,0.958,58.194,56.626,-1.539,1.0,1.134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.639,0.692,0.516,0.521,1.0,52.14,63.91,61.508,76.138,56.359,58.191,65.0,91.092,0.0,0.0,41.595,54.910526315789475,33.7,0.0,51.557,55.0,-2.0,83.199,58.744,0.0,0.0,0.0,medium,3.452,3.452,0.0268
3,アレクレア,3,差し,差し,8.512,8.512,7,2.22,45.0,11.552,45.0-82.0,0.75,46.721,65.429,63.714,63.771,59.193,23.445,45.92,42.064,37.868,-1.0,48.663,47.082,-1.369,-0.514,-0.679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.449,0.487,0.152,0.223,1.0,22.348,44.854,36.846,54.48,36.231,39.804,65.0,47.086,0.0,0.0,35.062,51.33,38.8,0.0,15.238,56.0,0.0,90.829,42.132,0.0,0.0,0.0,medium,3.452,3.452,0.0268
4,コスモアチーブ,4,差し,差し,8.512,8.512,8,3.0,45.0,11.552,45.0-82.0,0.75,48.534,54.286,48.0,67.862,74.364,59.943,51.258,46.73,55.681,0.304,56.395,57.443,2.33,0.902,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.497,0.441,0.516,0.598,1.0,59.808,49.723,51.18,70.597,56.592,51.507,65.0,63.431,0.0,0.0,55.801,44.1275,33.4,0.0,51.633,58.0,4.0,84.778,60.023,0.0,0.0,0.0,medium,3.452,3.452,0.0268
7,ミッドセンチュリー,7,差し,差し,8.512,8.512,9,6.22,45.0,11.552,45.0-82.0,0.75,48.469,60.643,49.7,63.716,70.471,61.624,50.697,48.002,57.56,0.508,56.383,54.423,-2.599,0.9,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.519,0.476,0.386,0.613,1.0,61.274,51.883,53.76,73.852,57.323,51.172,65.0,69.727,0.0,0.0,51.64,49.18,34.4,0.0,38.622,58.0,4.0,87.431,57.766,0.0,0.0,0.0,medium,3.452,3.452,0.0268
10,コスモエルヴァル,8,差し,差し,8.512,8.512,10,7.0,45.0,11.552,45.0-82.0,0.75,37.181,35.0,48.0,41.395,37.793,55.013,40.0,39.909,45.895,-0.76,46.67,47.927,2.87,-0.88,-0.519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.26,0.211,0.205,0.546,1.0,54.625,25.979,36.177,62.939,45.242,34.594,65.0,62.311,0.0,0.0,45.986,47.5575,34.5,0.0,20.536,55.0,-2.0,69.473,48.142,0.0,0.0,0.0,medium,3.452,3.452,0.0268
2,メアヴィア,2,逃げ,逃げ,59.697,59.697,1,1.0,0.504,11.496,0.0-8.0,0.75,39.52,59.214,48.0,35.305,38.314,48.746,40.0,40.507,50.836,-0.223,46.751,45.692,-0.549,-0.865,-0.943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.818,0.793,0.0,0.491,1.0,49.063,81.792,65.689,43.335,42.655,50.985,65.0,55.939,0.0,0.0,40.777,50.5825,33.4,0.0,0.0,56.0,0.0,80.692,43.414,0.0,0.0,0.0,medium,3.884,3.884,0.0301
1,ニシノイストワール,1,先行,先行,48.201,48.201,2,0.22,12.0,11.496,12.0-34.0,0.75,35.139,45.714,48.0,17.372,41.014,48.051,40.0,40.099,46.51,-0.694,44.989,42.55,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.498,0.526,0.064,0.476,1.0,47.562,49.837,50.314,50.15,42.379,41.409,65.0,54.684,0.0,0.0,41.027,50.285,35.2,0.0,6.429,58.0,4.0,79.121,43.655,0.0,0.0,0.0,medium,3.884,3.884,0.0301
5,ムーンストラック,5,先行,先行,48.201,48.201,3,4.22,12.0,11.496,12.0-34.0,0.75,42.278,46.357,48.0,42.82,53.843,63.199,43.915,45.079,55.702,0.306,52.29,51.358,-0.889,0.15,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.412,0.448,0.312,0.633,1.0,63.317,41.23,53.147,63.822,53.77,44.415,65.0,71.28,0.0,0.0,49.835,48.9175,33.9,0.0,31.25,56.0,0.0,82.11,55.252,0.0,0.0,0.0,medium,3.884,3.884,0.0301
6,トレベルオール,6,先行,先行,48.201,48.201,4,5.0,12.0,11.496,12.0-34.0,0.75,49.57,53.714,48.0,64.399,77.157,68.599,52.338,44.258,63.161,1.0,51.917,51.461,0.289,0.082,0.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.796,0.784,0.08,0.684,1.0,68.444,79.598,73.9,69.322,61.958,60.401,65.0,56.412,0.0,0.0,43.877,49.965,33.7,0.0,7.986,58.0,4.0,65.738,46.372,0.0,0.0,0.0,medium,3.884,3.884,0.0301
8,マイネルボス,7,先行,先行,48.201,48.201,5,6.0,12.0,11.496,12.0-34.0,0.75,41.109,40.143,47.086,55.161,48.864,53.076,42.575,47.248,53.975,0.118,52.449,52.004,-0.015,0.179,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.581,0.559,0.2,0.529,1.0,52.905,58.148,54.557,63.958,46.211,44.599,65.0,82.217,0.0,0.0,45.043,48.3275,35.3,0.0,20.0,58.0,4.0,87.958,52.622,0.0,0.0,0.0,medium,3.884,3.884,0.0301
9,アローメタル,8,先行,先行,48.201,48.201,6,7.0,12.0,11.496,12.0-34.0,0.75,50.974,90.0,43.405,83.514,93.243,52.254,53.707,53.556,61.693,0.958,58.194,56.626,-1.539,1.0,1.134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.639,0.692,0.516,0.521,1.0,52.14,63.91,61.508,76.138,56.359,58.191,65.0,91.092,0.0,0.0,41.595,54.910526315789475,33.7,0.0,51.557,55.0,-2.0,83.199,58.744,0.0,0.0,0.0,medium,3.884,3.884,0.0301
